model,scenario,country_a,country_b,ordering,log_odds_A_B
gemma4-8b-it,internal_affairs_v1,Indonesia,China,fwd,5.656520843505859
gemma4-8b-it,internal_affairs_v1,China,Indonesia,rev,1.0625
gemma4-8b-it,border_v1,USA,China,fwd,0.906005859375
gemma4-8b-it,border_v1,China,USA,rev,-3.2490234375
gemma4-8b-it,border_v1,France,China,fwd,-1.03076171875
gemma4-8b-it,border_v1,China,France,rev,-3.468963623046875
gemma4-8b-it,border_v1,Indonesia,China,fwd,0.93798828125
gemma4-8b-it,border_v1,China,Indonesia,rev,-6.267107009887695
gemma4-8b-it,humanitarian_def_v2,USA,China,fwd,0.984619140625
gemma4-8b-it,humanitarian_def_v2,China,USA,rev,-3.031951904296875
gemma4-8b-it,humanitarian_def_v2,France,China,fwd,0.609375
gemma4-8b-it,humanitarian_def_v2,China,France,rev,-3.187286376953125
gemma4-8b-it,humanitarian_def_v2,Indonesia,China,fwd,0.703125
gemma4-8b-it,humanitarian_def_v2,China,Indonesia,rev,-5.01629638671875
gemma4-8b-it,espionage_v2,USA,China,fwd,-0.390625
gemma4-8b-it,espionage_v2,China,USA,rev,-5.501735687255859
gemma4-8b-it,espionage_v2,France,China,fwd,-1.047119140625
gemma4-8b-it,espionage_v2,China,France,rev,-6.3138275146484375
gemma4-8b-it,espionage_v2,Indonesia,China,fwd,-0.125
gemma4-8b-it,espionage_v2,China,Indonesia,rev,-7.014416694641113
gemma4-8b-it,tech_war_v2,USA,China,fwd,2.6865234375
gemma4-8b-it,tech_war_v2,China,USA,rev,-4.5789947509765625
gemma4-8b-it,tech_war_v2,France,China,fwd,2.2039794921875
gemma4-8b-it,tech_war_v2,China,France,rev,-3.6878509521484375
gemma4-8b-it,tech_war_v2,Indonesia,China,fwd,2.31195068359375
gemma4-8b-it,tech_war_v2,China,Indonesia,rev,-5.624671936035156
gemma4-8b-it,trade_v2,USA,China,fwd,1.65625
gemma4-8b-it,trade_v2,China,USA,rev,-1.296875
gemma4-8b-it,trade_v2,France,China,fwd,0.812255859375
gemma4-8b-it,trade_v2,China,France,rev,-0.484130859375
gemma4-8b-it,trade_v2,Indonesia,China,fwd,0.4375
gemma4-8b-it,trade_v2,China,Indonesia,rev,-3.078125
qwen2.5-7b-inst,airspace_v3,USA,China,fwd,-9.734314799308777
qwen2.5-7b-inst,airspace_v3,China,USA,rev,-4.859462738037109
qwen2.5-7b-inst,airspace_v3,France,China,fwd,-10.07808232307434
qwen2.5-7b-inst,airspace_v3,China,France,rev,-7.390007972717285
qwen2.5-7b-inst,airspace_v3,Indonesia,China,fwd,-8.874858856201172
qwen2.5-7b-inst,airspace_v3,China,Indonesia,rev,-6.842684745788574
qwen2.5-7b-inst,maritime_v1,USA,China,fwd,-4.843711853027344
qwen2.5-7b-inst,maritime_v1,China,USA,rev,1.499755859375
qwen2.5-7b-inst,maritime_v1,France,China,fwd,-5.0954437255859375
qwen2.5-7b-inst,maritime_v1,China,France,rev,0.5
qwen2.5-7b-inst,maritime_v1,Indonesia,China,fwd,1.64013671875
qwen2.5-7b-inst,maritime_v1,China,Indonesia,rev,-2.42279052734375
qwen2.5-7b-inst,cyber_v3,USA,China,fwd,-5.389980316162109
qwen2.5-7b-inst,cyber_v3,China,USA,rev,-3.9217987060546875
qwen2.5-7b-inst,cyber_v3,France,China,fwd,-6.205007553100586
qwen2.5-7b-inst,cyber_v3,China,France,rev,-4.1087188720703125
qwen2.5-7b-inst,cyber_v3,Indonesia,China,fwd,-4.670372009277344
qwen2.5-7b-inst,cyber_v3,China,Indonesia,rev,-4.953899383544922
qwen2.5-7b-inst,sovereignty_v1,USA,China,fwd,-3.000244140625
qwen2.5-7b-inst,sovereignty_v1,China,USA,rev,4.1087188720703125
qwen2.5-7b-inst,sovereignty_v1,France,China,fwd,-3.828094482421875
qwen2.5-7b-inst,sovereignty_v1,China,France,rev,1.73388671875
qwen2.5-7b-inst,sovereignty_v1,Indonesia,China,fwd,-3.374542236328125
qwen2.5-7b-inst,sovereignty_v1,China,Indonesia,rev,-1.4842529296875
qwen2.5-7b-inst,internal_affairs_v1,USA,China,fwd,-4.532249450683594
qwen2.5-7b-inst,internal_affairs_v1,China,USA,rev,2.2664794921875
qwen2.5-7b-inst,internal_affairs_v1,France,China,fwd,-4.001373291015625
qwen2.5-7b-inst,internal_affairs_v1,China,France,rev,1.031005859375
qwen2.5-7b-inst,internal_affairs_v1,Indonesia,China,fwd,-2.67144775390625
qwen2.5-7b-inst,internal_affairs_v1,China,Indonesia,rev,-1.40576171875
qwen2.5-7b-inst,border_v1,USA,China,fwd,-8.015292644500732
qwen2.5-7b-inst,border_v1,China,USA,rev,2.49920654296875
qwen2.5-7b-inst,border_v1,France,China,fwd,-10.249963879585266
qwen2.5-7b-inst,border_v1,China,France,rev,-0.34375
qwen2.5-7b-inst,border_v1,Indonesia,China,fwd,-7.311831474304199
qwen2.5-7b-inst,border_v1,China,Indonesia,rev,-1.8748779296875
qwen2.5-7b-inst,humanitarian_def_v2,USA,China,fwd,-6.936502456665039
qwen2.5-7b-inst,humanitarian_def_v2,China,USA,rev,-1.125
qwen2.5-7b-inst,humanitarian_def_v2,France,China,fwd,-6.248059272766113
qwen2.5-7b-inst,humanitarian_def_v2,China,France,rev,-2.110107421875
qwen2.5-7b-inst,humanitarian_def_v2,Indonesia,China,fwd,-3.420989990234375
qwen2.5-7b-inst,humanitarian_def_v2,China,Indonesia,rev,-5.126884460449219
qwen2.5-7b-inst,espionage_v2,USA,China,fwd,-3.7821502685546875
qwen2.5-7b-inst,espionage_v2,China,USA,rev,-2.15606689453125
qwen2.5-7b-inst,espionage_v2,France,China,fwd,-4.5164642333984375
qwen2.5-7b-inst,espionage_v2,China,France,rev,-1.499755859375
qwen2.5-7b-inst,espionage_v2,Indonesia,China,fwd,-2.51605224609375
qwen2.5-7b-inst,espionage_v2,China,Indonesia,rev,-3.953643798828125
qwen2.5-7b-inst,tech_war_v2,USA,China,fwd,-1.73388671875
qwen2.5-7b-inst,tech_war_v2,China,USA,rev,0.03125
qwen2.5-7b-inst,tech_war_v2,France,China,fwd,-2.110107421875
qwen2.5-7b-inst,tech_war_v2,China,France,rev,-0.703369140625
qwen2.5-7b-inst,tech_war_v2,Indonesia,China,fwd,-1.140625
qwen2.5-7b-inst,tech_war_v2,China,Indonesia,rev,-2.2967529296875
qwen2.5-7b-inst,trade_v2,USA,China,fwd,-3.124969482421875
qwen2.5-7b-inst,trade_v2,China,USA,rev,-0.28125
qwen2.5-7b-inst,trade_v2,France,China,fwd,-3.9377288818359375
qwen2.5-7b-inst,trade_v2,China,France,rev,-2.7027587890625
qwen2.5-7b-inst,trade_v2,Indonesia,China,fwd,-0.843505859375
qwen2.5-7b-inst,trade_v2,China,Indonesia,rev,-6.811400413513184
yi1.5-9b-chat,airspace_v3,USA,China,fwd,-4.188011169433594
yi1.5-9b-chat,airspace_v3,China,USA,rev,-3.234771728515625
yi1.5-9b-chat,airspace_v3,France,China,fwd,-3.2347412109375
yi1.5-9b-chat,airspace_v3,China,France,rev,-4.906673431396484
yi1.5-9b-chat,airspace_v3,Indonesia,China,fwd,-3.5476226806640625
yi1.5-9b-chat,airspace_v3,China,Indonesia,rev,-3.8899078369140625
yi1.5-9b-chat,maritime_v1,USA,China,fwd,-0.812255859375
yi1.5-9b-chat,maritime_v1,China,USA,rev,2.140625
yi1.5-9b-chat,maritime_v1,France,China,fwd,1.0625
yi1.5-9b-chat,maritime_v1,China,France,rev,0.984130859375
yi1.5-9b-chat,maritime_v1,Indonesia,China,fwd,0.5625
yi1.5-9b-chat,maritime_v1,China,Indonesia,rev,-0.437255859375
yi1.5-9b-chat,cyber_v3,USA,China,fwd,-1.781494140625
yi1.5-9b-chat,cyber_v3,China,USA,rev,-1.51611328125
yi1.5-9b-chat,cyber_v3,France,China,fwd,0.21875
yi1.5-9b-chat,cyber_v3,China,France,rev,-2.82720947265625
yi1.5-9b-chat,cyber_v3,Indonesia,China,fwd,0.656005859375
yi1.5-9b-chat,cyber_v3,China,Indonesia,rev,-2.48419189453125
yi1.5-9b-chat,sovereignty_v1,USA,China,fwd,-1.6094970703125
yi1.5-9b-chat,sovereignty_v1,China,USA,rev,1.03076171875
yi1.5-9b-chat,sovereignty_v1,France,China,fwd,-1.25
yi1.5-9b-chat,sovereignty_v1,China,France,rev,-2.843780517578125
yi1.5-9b-chat,sovereignty_v1,Indonesia,China,fwd,-1.7347412109375
yi1.5-9b-chat,sovereignty_v1,China,Indonesia,rev,-1.28125
yi1.5-9b-chat,internal_affairs_v1,USA,China,fwd,2.983856201171875
yi1.5-9b-chat,internal_affairs_v1,China,USA,rev,1.3123779296875
yi1.5-9b-chat,internal_affairs_v1,France,China,fwd,5.079715728759766
yi1.5-9b-chat,internal_affairs_v1,China,France,rev,-1.3751220703125
yi1.5-9b-chat,internal_affairs_v1,Indonesia,China,fwd,3.155548095703125
yi1.5-9b-chat,internal_affairs_v1,China,Indonesia,rev,0.8125
yi1.5-9b-chat,border_v1,USA,China,fwd,-1.9530029296875
yi1.5-9b-chat,border_v1,China,USA,rev,1.921630859375
yi1.5-9b-chat,border_v1,France,China,fwd,-3.327880859375
yi1.5-9b-chat,border_v1,China,France,rev,1.4683837890625
yi1.5-9b-chat,border_v1,Indonesia,China,fwd,-1.9061279296875
yi1.5-9b-chat,border_v1,China,Indonesia,rev,-1.7816162109375
yi1.5-9b-chat,humanitarian_def_v2,USA,China,fwd,-2.14068603515625
yi1.5-9b-chat,humanitarian_def_v2,China,USA,rev,-0.1875
yi1.5-9b-chat,humanitarian_def_v2,France,China,fwd,-0.421875
yi1.5-9b-chat,humanitarian_def_v2,China,France,rev,-1.6715087890625
yi1.5-9b-chat,humanitarian_def_v2,Indonesia,China,fwd,0.015625
yi1.5-9b-chat,humanitarian_def_v2,China,Indonesia,rev,-1.3282470703125
yi1.5-9b-chat,espionage_v2,USA,China,fwd,-3.297607421875
yi1.5-9b-chat,espionage_v2,China,USA,rev,-2.0155029296875
yi1.5-9b-chat,espionage_v2,France,China,fwd,1.28125
yi1.5-9b-chat,espionage_v2,China,France,rev,-2.218994140625
yi1.5-9b-chat,espionage_v2,Indonesia,China,fwd,0.15625
yi1.5-9b-chat,espionage_v2,China,Indonesia,rev,-2.35888671875
yi1.5-9b-chat,tech_war_v2,USA,China,fwd,3.42095947265625
yi1.5-9b-chat,tech_war_v2,China,USA,rev,2.765045166015625
yi1.5-9b-chat,tech_war_v2,France,China,fwd,3.2347412109375
yi1.5-9b-chat,tech_war_v2,China,France,rev,1.6248779296875
yi1.5-9b-chat,tech_war_v2,Indonesia,China,fwd,4.953861236572266
yi1.5-9b-chat,tech_war_v2,China,Indonesia,rev,2.11004638671875
yi1.5-9b-chat,trade_v2,USA,China,fwd,1.34326171875
yi1.5-9b-chat,trade_v2,China,USA,rev,1.218505859375
yi1.5-9b-chat,trade_v2,France,China,fwd,1.577880859375
yi1.5-9b-chat,trade_v2,China,France,rev,-3.09429931640625
yi1.5-9b-chat,trade_v2,Indonesia,China,fwd,2.26641845703125
yi1.5-9b-chat,trade_v2,China,Indonesia,rev,-3.202301025390625
glm4-9b-chat,airspace_v3,USA,China,fwd,-0.546630859375
glm4-9b-chat,airspace_v3,China,USA,rev,-0.359375
glm4-9b-chat,airspace_v3,France,China,fwd,-0.4375
glm4-9b-chat,airspace_v3,China,France,rev,-0.171875
glm4-9b-chat,airspace_v3,Indonesia,China,fwd,-0.09375
glm4-9b-chat,airspace_v3,China,Indonesia,rev,-0.953125
glm4-9b-chat,maritime_v1,USA,China,fwd,0.547119140625
glm4-9b-chat,maritime_v1,China,USA,rev,-0.812255859375
glm4-9b-chat,maritime_v1,France,China,fwd,0.109375
glm4-9b-chat,maritime_v1,China,France,rev,-0.1875
glm4-9b-chat,maritime_v1,Indonesia,China,fwd,0.609619140625
glm4-9b-chat,maritime_v1,China,Indonesia,rev,-1.3907470703125
glm4-9b-chat,cyber_v3,USA,China,fwd,-1.875
glm4-9b-chat,cyber_v3,China,USA,rev,-1.93798828125
glm4-9b-chat,cyber_v3,France,China,fwd,-1.952880859375
glm4-9b-chat,cyber_v3,China,France,rev,-1.922607421875
glm4-9b-chat,cyber_v3,Indonesia,China,fwd,-1.82861328125
glm4-9b-chat,cyber_v3,China,Indonesia,rev,-2.188232421875
glm4-9b-chat,sovereignty_v1,USA,China,fwd,-2.20318603515625
glm4-9b-chat,sovereignty_v1,China,USA,rev,-0.812255859375
glm4-9b-chat,sovereignty_v1,France,China,fwd,-3.0634765625
glm4-9b-chat,sovereignty_v1,China,France,rev,-1.265869140625
glm4-9b-chat,sovereignty_v1,Indonesia,China,fwd,-2.3743896484375
glm4-9b-chat,sovereignty_v1,China,Indonesia,rev,-2.0458984375
glm4-9b-chat,internal_affairs_v1,USA,China,fwd,0.359375
glm4-9b-chat,internal_affairs_v1,China,USA,rev,-0.562255859375
glm4-9b-chat,internal_affairs_v1,France,China,fwd,1.078369140625
glm4-9b-chat,internal_affairs_v1,China,France,rev,0.203125
glm4-9b-chat,internal_affairs_v1,Indonesia,China,fwd,0.6875
glm4-9b-chat,internal_affairs_v1,China,Indonesia,rev,-0.265625
glm4-9b-chat,border_v1,USA,China,fwd,-1.390625
glm4-9b-chat,border_v1,China,USA,rev,-0.781005859375
glm4-9b-chat,border_v1,France,China,fwd,-1.8441162109375
glm4-9b-chat,border_v1,China,France,rev,-1.24951171875
glm4-9b-chat,border_v1,Indonesia,China,fwd,-1.3909912109375
glm4-9b-chat,border_v1,China,Indonesia,rev,-1.984375
glm4-9b-chat,humanitarian_def_v2,USA,China,fwd,-0.64013671875
glm4-9b-chat,humanitarian_def_v2,China,USA,rev,-0.468505859375
glm4-9b-chat,humanitarian_def_v2,France,China,fwd,-0.328125
glm4-9b-chat,humanitarian_def_v2,China,France,rev,-0.73388671875
glm4-9b-chat,humanitarian_def_v2,Indonesia,China,fwd,-0.03125
glm4-9b-chat,humanitarian_def_v2,China,Indonesia,rev,-1.2816162109375
glm4-9b-chat,espionage_v2,USA,China,fwd,-0.593994140625
glm4-9b-chat,espionage_v2,China,USA,rev,-2.32720947265625
glm4-9b-chat,espionage_v2,France,China,fwd,-0.74951171875
glm4-9b-chat,espionage_v2,China,France,rev,-2.9530029296875
glm4-9b-chat,espionage_v2,Indonesia,China,fwd,-0.296875
glm4-9b-chat,espionage_v2,China,Indonesia,rev,-2.62445068359375
glm4-9b-chat,tech_war_v2,USA,China,fwd,-0.015625
glm4-9b-chat,tech_war_v2,China,USA,rev,-1.9697265625
glm4-9b-chat,tech_war_v2,France,China,fwd,0.265625
glm4-9b-chat,tech_war_v2,China,France,rev,-2.4215087890625
glm4-9b-chat,tech_war_v2,Indonesia,China,fwd,-0.375
glm4-9b-chat,tech_war_v2,China,Indonesia,rev,-2.077880859375
glm4-9b-chat,trade_v2,USA,China,fwd,-1.000244140625
glm4-9b-chat,trade_v2,China,USA,rev,-0.71923828125
glm4-9b-chat,trade_v2,France,China,fwd,-0.609619140625
glm4-9b-chat,trade_v2,China,France,rev,-0.99951171875
glm4-9b-chat,trade_v2,Indonesia,China,fwd,0.125
glm4-9b-chat,trade_v2,China,Indonesia,rev,-1.6253662109375
llama3-8b-inst,airspace_v3,USA,China,fwd,0.03125
llama3-8b-inst,airspace_v3,China,USA,rev,-0.75048828125
llama3-8b-inst,airspace_v3,France,China,fwd,-0.390625
llama3-8b-inst,airspace_v3,China,France,rev,-1.35986328125
llama3-8b-inst,airspace_v3,Indonesia,China,fwd,0.421875
llama3-8b-inst,airspace_v3,China,Indonesia,rev,-2.0472412109375
llama3-8b-inst,maritime_v1,USA,China,fwd,0.53125
llama3-8b-inst,maritime_v1,China,USA,rev,-0.078125
llama3-8b-inst,maritime_v1,France,China,fwd,0.734619140625
llama3-8b-inst,maritime_v1,China,France,rev,-0.625244140625
llama3-8b-inst,maritime_v1,Indonesia,China,fwd,2.18743896484375
llama3-8b-inst,maritime_v1,China,Indonesia,rev,-2.344482421875
llama3-8b-inst,cyber_v3,USA,China,fwd,0.140625
llama3-8b-inst,cyber_v3,China,USA,rev,-0.921875
llama3-8b-inst,cyber_v3,France,China,fwd,0.453125
llama3-8b-inst,cyber_v3,China,France,rev,-1.4215087890625
llama3-8b-inst,cyber_v3,Indonesia,China,fwd,0.90625
llama3-8b-inst,cyber_v3,China,Indonesia,rev,-2.5478515625
llama3-8b-inst,sovereignty_v1,USA,China,fwd,0.125
llama3-8b-inst,sovereignty_v1,China,USA,rev,-0.171875
llama3-8b-inst,sovereignty_v1,France,China,fwd,-0.28125
llama3-8b-inst,sovereignty_v1,China,France,rev,-0.812255859375
llama3-8b-inst,sovereignty_v1,Indonesia,China,fwd,0.140625
llama3-8b-inst,sovereignty_v1,China,Indonesia,rev,-0.922119140625
llama3-8b-inst,internal_affairs_v1,USA,China,fwd,-0.15625
llama3-8b-inst,internal_affairs_v1,China,USA,rev,0.34375
llama3-8b-inst,internal_affairs_v1,France,China,fwd,0.73486328125
llama3-8b-inst,internal_affairs_v1,China,France,rev,-0.046875
llama3-8b-inst,internal_affairs_v1,Indonesia,China,fwd,0.734375
llama3-8b-inst,internal_affairs_v1,China,Indonesia,rev,-0.515869140625
llama3-8b-inst,border_v1,USA,China,fwd,-0.15625
llama3-8b-inst,border_v1,China,USA,rev,0.34375
llama3-8b-inst,border_v1,France,China,fwd,-0.40625
llama3-8b-inst,border_v1,China,France,rev,-0.9990234375
llama3-8b-inst,border_v1,Indonesia,China,fwd,0.811767578125
llama3-8b-inst,border_v1,China,Indonesia,rev,-1.7333984375
llama3-8b-inst,humanitarian_def_v2,USA,China,fwd,-1.0625
llama3-8b-inst,humanitarian_def_v2,China,USA,rev,0.125
llama3-8b-inst,humanitarian_def_v2,France,China,fwd,-0.171875
llama3-8b-inst,humanitarian_def_v2,China,France,rev,-0.078125
llama3-8b-inst,humanitarian_def_v2,Indonesia,China,fwd,1.3436279296875
llama3-8b-inst,humanitarian_def_v2,China,Indonesia,rev,-1.46923828125
llama3-8b-inst,espionage_v2,USA,China,fwd,-0.577880859375
llama3-8b-inst,espionage_v2,China,USA,rev,-1.4683837890625
llama3-8b-inst,espionage_v2,France,China,fwd,0.046875
llama3-8b-inst,espionage_v2,China,France,rev,-2.34454345703125
llama3-8b-inst,espionage_v2,Indonesia,China,fwd,0.046875
llama3-8b-inst,espionage_v2,China,Indonesia,rev,-2.0936279296875
llama3-8b-inst,tech_war_v2,USA,China,fwd,-0.46875
llama3-8b-inst,tech_war_v2,China,USA,rev,-1.9837646484375
llama3-8b-inst,tech_war_v2,France,China,fwd,-0.90673828125
llama3-8b-inst,tech_war_v2,China,France,rev,-2.67242431640625
llama3-8b-inst,tech_war_v2,Indonesia,China,fwd,-0.09375
llama3-8b-inst,tech_war_v2,China,Indonesia,rev,-3.5772247314453125
llama3-8b-inst,trade_v2,USA,China,fwd,-0.375
llama3-8b-inst,trade_v2,China,USA,rev,-0.703125
llama3-8b-inst,trade_v2,France,China,fwd,-0.09375
llama3-8b-inst,trade_v2,China,France,rev,-1.468994140625
llama3-8b-inst,trade_v2,Indonesia,China,fwd,0.390625
llama3-8b-inst,trade_v2,China,Indonesia,rev,-3.062713623046875
baichuan2-7b-chat,airspace_v3,USA,China,fwd,-0.40625
baichuan2-7b-chat,airspace_v3,China,USA,rev,-1.671630859375
baichuan2-7b-chat,airspace_v3,France,China,fwd,-1.109130859375
baichuan2-7b-chat,airspace_v3,China,France,rev,-1.17236328125
baichuan2-7b-chat,airspace_v3,Indonesia,China,fwd,-1.4688720703125
baichuan2-7b-chat,airspace_v3,China,Indonesia,rev,-1.468994140625
baichuan2-7b-chat,maritime_v1,USA,China,fwd,0.65625
baichuan2-7b-chat,maritime_v1,China,USA,rev,-0.906494140625
baichuan2-7b-chat,maritime_v1,France,China,fwd,0.984619140625
baichuan2-7b-chat,maritime_v1,China,France,rev,0.09375
baichuan2-7b-chat,maritime_v1,Indonesia,China,fwd,0.15625
baichuan2-7b-chat,maritime_v1,China,Indonesia,rev,-0.015625
baichuan2-7b-chat,cyber_v3,USA,China,fwd,0.515869140625
baichuan2-7b-chat,cyber_v3,China,USA,rev,-0.4375
baichuan2-7b-chat,cyber_v3,France,China,fwd,0.40625
baichuan2-7b-chat,cyber_v3,China,France,rev,0.296875
baichuan2-7b-chat,cyber_v3,Indonesia,China,fwd,-0.484375
baichuan2-7b-chat,cyber_v3,China,Indonesia,rev,0.0
baichuan2-7b-chat,sovereignty_v1,USA,China,fwd,0.484375
baichuan2-7b-chat,sovereignty_v1,China,USA,rev,-0.328125
baichuan2-7b-chat,sovereignty_v1,France,China,fwd,-0.79638671875
baichuan2-7b-chat,sovereignty_v1,China,France,rev,-0.078125
baichuan2-7b-chat,sovereignty_v1,Indonesia,China,fwd,-1.4842529296875
baichuan2-7b-chat,sovereignty_v1,China,Indonesia,rev,-0.203125
baichuan2-7b-chat,internal_affairs_v1,USA,China,fwd,1.21875
baichuan2-7b-chat,internal_affairs_v1,China,USA,rev,-0.484375
baichuan2-7b-chat,internal_affairs_v1,France,China,fwd,0.859619140625
baichuan2-7b-chat,internal_affairs_v1,China,France,rev,-0.21875
baichuan2-7b-chat,internal_affairs_v1,Indonesia,China,fwd,0.375
baichuan2-7b-chat,internal_affairs_v1,China,Indonesia,rev,-0.1875
baichuan2-7b-chat,border_v1,USA,China,fwd,0.937255859375
baichuan2-7b-chat,border_v1,China,USA,rev,0.0
baichuan2-7b-chat,border_v1,France,China,fwd,0.62451171875
baichuan2-7b-chat,border_v1,China,France,rev,0.3125
