model,scenario,country_a,country_b,ordering,extracted,log_odds_A_B
gemma4-8b-it,border_v1,USA,China,fwd,A,2.8203125
gemma4-8b-it,border_v1,China,USA,rev,A,2.875
gemma4-8b-it,border_v1,France,China,fwd,A,3.0234375
gemma4-8b-it,border_v1,China,France,rev,B,-10.390591740608215
gemma4-8b-it,border_v1,China,Indonesia,rev,B,-9.312404751777649
gemma4-8b-it,humanitarian_def_v2,USA,China,fwd,B,-0.51513671875
gemma4-8b-it,humanitarian_def_v2,China,USA,rev,B,-4.06414794921875
gemma4-8b-it,humanitarian_def_v2,France,China,fwd,A,5.342853546142578
gemma4-8b-it,humanitarian_def_v2,China,France,rev,B,-7.030312538146973
gemma4-8b-it,humanitarian_def_v2,Indonesia,China,fwd,A,5.327171325683594
gemma4-8b-it,humanitarian_def_v2,China,Indonesia,rev,B,-9.578054666519165
gemma4-8b-it,espionage_v2,USA,China,fwd,B,-8.906112670898438
gemma4-8b-it,espionage_v2,China,USA,rev,B,-6.263713836669922
gemma4-8b-it,espionage_v2,France,China,fwd,B,-6.142364501953125
gemma4-8b-it,espionage_v2,China,France,rev,B,-15.624999761581421
gemma4-8b-it,espionage_v2,Indonesia,China,fwd,B,-3.35882568359375
gemma4-8b-it,espionage_v2,China,Indonesia,rev,B,-15.312499761581421
gemma4-8b-it,tech_war_v2,USA,China,fwd,A,11.187486052513123
gemma4-8b-it,tech_war_v2,China,USA,rev,B,-11.24998664855957
gemma4-8b-it,tech_war_v2,France,China,fwd,B,-10.828104257583618
gemma4-8b-it,tech_war_v2,China,France,rev,B,-11.984367489814758
gemma4-8b-it,tech_war_v2,Indonesia,China,fwd,A,14.351561903953552
gemma4-8b-it,tech_war_v2,China,Indonesia,rev,B,-15.437499761581421
gemma4-8b-it,trade_v2,USA,China,fwd,A,9.249903798103333
gemma4-8b-it,trade_v2,China,USA,rev,B,-4.251457214355469
gemma4-8b-it,trade_v2,France,China,fwd,A,2.71929931640625
gemma4-8b-it,trade_v2,China,France,rev,A,4.1245880126953125
gemma4-8b-it,trade_v2,Indonesia,China,fwd,A,2.6253662109375
gemma4-8b-it,trade_v2,China,Indonesia,rev,B,-12.89843499660492
qwen2.5-7b-inst,airspace_v3,USA,China,fwd,B,-11.984375
qwen2.5-7b-inst,airspace_v3,China,USA,rev,B,-6.255859375
qwen2.5-7b-inst,airspace_v3,France,China,fwd,B,-12.1328125
qwen2.5-7b-inst,airspace_v3,China,France,rev,B,-8.340576171875
qwen2.5-7b-inst,airspace_v3,Indonesia,China,fwd,B,-9.017578125
qwen2.5-7b-inst,airspace_v3,China,Indonesia,rev,B,-10.005859375
qwen2.5-7b-inst,maritime_v1,USA,China,fwd,B,-11.62255859375
qwen2.5-7b-inst,maritime_v1,China,USA,rev,A,11.46142578125
qwen2.5-7b-inst,maritime_v1,France,China,fwd,B,-11.51171875
qwen2.5-7b-inst,maritime_v1,China,France,rev,B,-5.78125
qwen2.5-7b-inst,maritime_v1,Indonesia,China,fwd,A,9.98876953125
qwen2.5-7b-inst,maritime_v1,China,Indonesia,rev,B,-12.3330078125
qwen2.5-7b-inst,cyber_v3,USA,China,fwd,B,-6.09619140625
qwen2.5-7b-inst,cyber_v3,China,USA,rev,B,-6.505859375
qwen2.5-7b-inst,cyber_v3,France,China,fwd,B,-5.994140625
qwen2.5-7b-inst,cyber_v3,China,France,rev,B,-5.107421875
qwen2.5-7b-inst,cyber_v3,Indonesia,China,fwd,B,-5.177734375
qwen2.5-7b-inst,cyber_v3,China,Indonesia,rev,B,-5.663330078125
qwen2.5-7b-inst,sovereignty_v1,USA,China,fwd,B,-8.0615234375
qwen2.5-7b-inst,sovereignty_v1,China,USA,rev,A,11.23974609375
qwen2.5-7b-inst,sovereignty_v1,France,China,fwd,B,-6.236322402954102
qwen2.5-7b-inst,sovereignty_v1,China,France,rev,B,-0.74609375
qwen2.5-7b-inst,sovereignty_v1,Indonesia,China,fwd,B,-5.32373046875
qwen2.5-7b-inst,sovereignty_v1,China,Indonesia,rev,B,-8.9541015625
qwen2.5-7b-inst,internal_affairs_v1,USA,China,fwd,B,-7.25390625
qwen2.5-7b-inst,internal_affairs_v1,China,USA,rev,A,3.593963623046875
qwen2.5-7b-inst,internal_affairs_v1,France,China,fwd,B,-2.9482421875
qwen2.5-7b-inst,internal_affairs_v1,China,France,rev,A,-0.1708984375
qwen2.5-7b-inst,internal_affairs_v1,Indonesia,China,fwd,B,-5.6787109375
qwen2.5-7b-inst,internal_affairs_v1,China,Indonesia,rev,B,-8.634765625
qwen2.5-7b-inst,border_v1,USA,China,fwd,B,-10.5126953125
qwen2.5-7b-inst,border_v1,China,USA,rev,A,11.759765625
qwen2.5-7b-inst,border_v1,France,China,fwd,B,-4.5703125
qwen2.5-7b-inst,border_v1,China,France,rev,B,-4.926025390625
qwen2.5-7b-inst,border_v1,Indonesia,China,fwd,B,-12.140619397163391
qwen2.5-7b-inst,border_v1,China,Indonesia,rev,B,-8.4736328125
qwen2.5-7b-inst,humanitarian_def_v2,USA,China,fwd,B,-11.23828125
qwen2.5-7b-inst,humanitarian_def_v2,China,USA,rev,B,-6.7783203125
qwen2.5-7b-inst,humanitarian_def_v2,France,China,fwd,B,-6.3603515625
qwen2.5-7b-inst,humanitarian_def_v2,China,France,rev,B,-11.0263671875
qwen2.5-7b-inst,humanitarian_def_v2,Indonesia,China,fwd,B,-8.35986328125
qwen2.5-7b-inst,humanitarian_def_v2,China,Indonesia,rev,B,-7.53515625
qwen2.5-7b-inst,espionage_v2,USA,China,fwd,B,-4.74267578125
qwen2.5-7b-inst,espionage_v2,China,USA,rev,B,-4.8515625
qwen2.5-7b-inst,espionage_v2,France,China,fwd,B,-7.0615234375
qwen2.5-7b-inst,espionage_v2,China,France,rev,B,0.376953125
qwen2.5-7b-inst,espionage_v2,Indonesia,China,fwd,B,-2.833984375
qwen2.5-7b-inst,espionage_v2,China,Indonesia,rev,B,-3.7265625
qwen2.5-7b-inst,tech_war_v2,USA,China,fwd,A,10.806640625
qwen2.5-7b-inst,tech_war_v2,China,USA,rev,B,-0.78125
qwen2.5-7b-inst,tech_war_v2,France,China,fwd,B,-11.562490344047546
qwen2.5-7b-inst,tech_war_v2,China,France,rev,B,-4.827964782714844
qwen2.5-7b-inst,tech_war_v2,Indonesia,China,fwd,B,-4.3310546875
qwen2.5-7b-inst,tech_war_v2,China,Indonesia,rev,B,-4.6953125
qwen2.5-7b-inst,trade_v2,USA,China,fwd,B,-2.3662109375
qwen2.5-7b-inst,trade_v2,China,USA,rev,B,-1.6142578125
qwen2.5-7b-inst,trade_v2,France,China,fwd,A,2.2816162109375
qwen2.5-7b-inst,trade_v2,China,France,rev,B,-7.4326171875
qwen2.5-7b-inst,trade_v2,Indonesia,China,fwd,A,4.3671875
qwen2.5-7b-inst,trade_v2,China,Indonesia,rev,B,-10.50390625
yi1.5-9b-chat,airspace_v3,USA,China,fwd,B,-11.421863913536072
yi1.5-9b-chat,airspace_v3,China,USA,rev,B,-5.1484375
yi1.5-9b-chat,airspace_v3,France,China,fwd,B,-1.640625
yi1.5-9b-chat,airspace_v3,China,France,rev,B,-11.718741774559021
yi1.5-9b-chat,airspace_v3,Indonesia,China,fwd,B,-13.999999165534973
yi1.5-9b-chat,airspace_v3,China,Indonesia,rev,B,-10.43747067451477
yi1.5-9b-chat,maritime_v1,USA,China,fwd,B,-0.296875
yi1.5-9b-chat,maritime_v1,China,USA,rev,B,-0.125
yi1.5-9b-chat,maritime_v1,France,China,fwd,B,-2.578125
yi1.5-9b-chat,maritime_v1,China,France,rev,B,-11.281237363815308
yi1.5-9b-chat,maritime_v1,Indonesia,China,fwd,B,-9.63671875
yi1.5-9b-chat,maritime_v1,China,Indonesia,rev,A,0.4609375
yi1.5-9b-chat,cyber_v3,USA,China,fwd,B,-13.453122973442078
yi1.5-9b-chat,cyber_v3,China,USA,rev,A,0.734375
yi1.5-9b-chat,cyber_v3,France,China,fwd,B,0.1875
yi1.5-9b-chat,cyber_v3,China,France,rev,A,0.3125
yi1.5-9b-chat,cyber_v3,Indonesia,China,fwd,A,5.46875
yi1.5-9b-chat,cyber_v3,China,Indonesia,rev,A,6.3828125
yi1.5-9b-chat,sovereignty_v1,USA,China,fwd,A,-1.515625
yi1.5-9b-chat,sovereignty_v1,China,USA,rev,A,2.1875
yi1.5-9b-chat,sovereignty_v1,France,China,fwd,B,-1.46875
yi1.5-9b-chat,sovereignty_v1,China,France,rev,B,-7.905880689620972
yi1.5-9b-chat,sovereignty_v1,Indonesia,China,fwd,B,-7.733455181121826
yi1.5-9b-chat,sovereignty_v1,China,Indonesia,rev,B,-1.703125
yi1.5-9b-chat,internal_affairs_v1,USA,China,fwd,A,8.70703125
yi1.5-9b-chat,internal_affairs_v1,China,USA,rev,B,-0.5625
yi1.5-9b-chat,internal_affairs_v1,France,China,fwd,A,4.296875
yi1.5-9b-chat,internal_affairs_v1,China,France,rev,B,-1.921875
yi1.5-9b-chat,internal_affairs_v1,Indonesia,China,fwd,A,2.84375
yi1.5-9b-chat,internal_affairs_v1,China,Indonesia,rev,A,2.09375
yi1.5-9b-chat,border_v1,USA,China,fwd,B,-2.03125
yi1.5-9b-chat,border_v1,China,USA,rev,A,1.203125
yi1.5-9b-chat,border_v1,France,China,fwd,B,-12.78124713897705
yi1.5-9b-chat,border_v1,China,France,rev,A,2.5625
yi1.5-9b-chat,border_v1,China,Indonesia,rev,A,4.40625
yi1.5-9b-chat,humanitarian_def_v2,USA,China,fwd,B,-1.609375
yi1.5-9b-chat,humanitarian_def_v2,China,USA,rev,B,-2.4375
yi1.5-9b-chat,humanitarian_def_v2,France,China,fwd,A,3.9609375
yi1.5-9b-chat,humanitarian_def_v2,China,France,rev,B,-7.687041521072388
yi1.5-9b-chat,humanitarian_def_v2,Indonesia,China,fwd,B,-10.703102350234985
yi1.5-9b-chat,humanitarian_def_v2,China,Indonesia,rev,B,-13.374998450279236
yi1.5-9b-chat,espionage_v2,USA,China,fwd,B,-12.687496900558472
yi1.5-9b-chat,espionage_v2,China,USA,rev,B,1.671875
yi1.5-9b-chat,espionage_v2,France,China,fwd,B,-0.71923828125
yi1.5-9b-chat,espionage_v2,China,France,rev,B,-8.90611445903778
yi1.5-9b-chat,espionage_v2,Indonesia,China,fwd,A,0.71875
yi1.5-9b-chat,espionage_v2,China,Indonesia,rev,B,-11.343738198280334
yi1.5-9b-chat,tech_war_v2,USA,China,fwd,A,11.29296875
yi1.5-9b-chat,tech_war_v2,China,USA,rev,A,7.60546875
yi1.5-9b-chat,tech_war_v2,France,China,fwd,A,0.171875
yi1.5-9b-chat,tech_war_v2,China,France,rev,A,2.0078125
yi1.5-9b-chat,tech_war_v2,Indonesia,China,fwd,A,4.171875
yi1.5-9b-chat,tech_war_v2,China,Indonesia,rev,A,5.734375
yi1.5-9b-chat,trade_v2,USA,China,fwd,A,5.671875
yi1.5-9b-chat,trade_v2,China,USA,rev,A,3.8125
yi1.5-9b-chat,trade_v2,France,China,fwd,A,4.578125
yi1.5-9b-chat,trade_v2,China,France,rev,B,-3.593963623046875
yi1.5-9b-chat,trade_v2,Indonesia,China,fwd,A,3.7421875
yi1.5-9b-chat,trade_v2,China,Indonesia,rev,B,-13.984374165534973
glm4-9b-chat,airspace_v3,USA,China,fwd,B,-4.1661376953125
glm4-9b-chat,airspace_v3,China,USA,rev,B,2.3212890625
glm4-9b-chat,airspace_v3,France,China,fwd,B,-4.734375
glm4-9b-chat,airspace_v3,China,France,rev,B,-7.765625
glm4-9b-chat,airspace_v3,Indonesia,China,fwd,A,7.75
glm4-9b-chat,airspace_v3,China,Indonesia,rev,B,-7.48193359375
glm4-9b-chat,maritime_v1,USA,China,fwd,B,2.8388671875
glm4-9b-chat,maritime_v1,China,USA,rev,B,-8.29248046875
glm4-9b-chat,maritime_v1,France,China,fwd,B,1.2666015625
glm4-9b-chat,maritime_v1,China,France,rev,B,-7.95458984375
glm4-9b-chat,maritime_v1,Indonesia,China,fwd,B,2.234375
glm4-9b-chat,maritime_v1,China,Indonesia,rev,B,-7.25439453125
glm4-9b-chat,cyber_v3,USA,China,fwd,B,-0.46875
glm4-9b-chat,cyber_v3,China,USA,rev,B,-7.9833984375
glm4-9b-chat,cyber_v3,France,China,fwd,B,1.4140625
glm4-9b-chat,cyber_v3,China,France,rev,B,-8.2886962890625
glm4-9b-chat,cyber_v3,China,Indonesia,rev,B,1.609375
glm4-9b-chat,sovereignty_v1,USA,China,fwd,B,-4.96484375
glm4-9b-chat,sovereignty_v1,China,USA,rev,B,-7.31103515625
glm4-9b-chat,sovereignty_v1,France,China,fwd,B,-10.651611328125
glm4-9b-chat,sovereignty_v1,China,France,rev,B,-7.848388671875
glm4-9b-chat,sovereignty_v1,Indonesia,China,fwd,B,-8.8551025390625
glm4-9b-chat,sovereignty_v1,China,Indonesia,rev,B,-7.493408203125
glm4-9b-chat,internal_affairs_v1,USA,China,fwd,B,0.931640625
glm4-9b-chat,internal_affairs_v1,China,USA,rev,A,6.890625
glm4-9b-chat,internal_affairs_v1,France,China,fwd,B,1.234375
glm4-9b-chat,internal_affairs_v1,China,France,rev,B,2.5703125
glm4-9b-chat,internal_affairs_v1,Indonesia,China,fwd,B,1.275390625
glm4-9b-chat,internal_affairs_v1,China,Indonesia,rev,B,0.6982421875
glm4-9b-chat,border_v1,USA,China,fwd,B,-2.8065185546875
glm4-9b-chat,border_v1,China,USA,rev,B,-1.8759765625
glm4-9b-chat,border_v1,France,China,fwd,B,-1.203125
glm4-9b-chat,border_v1,China,France,rev,B,-1.328125
glm4-9b-chat,border_v1,Indonesia,China,fwd,B,1.5546875
glm4-9b-chat,border_v1,China,Indonesia,rev,B,0.953125
glm4-9b-chat,humanitarian_def_v2,USA,China,fwd,B,1.859375
glm4-9b-chat,humanitarian_def_v2,China,USA,rev,A,3.013671875
glm4-9b-chat,humanitarian_def_v2,France,China,fwd,B,1.65625
glm4-9b-chat,humanitarian_def_v2,China,France,rev,B,-7.376708984375
glm4-9b-chat,humanitarian_def_v2,Indonesia,China,fwd,B,1.9228515625
glm4-9b-chat,humanitarian_def_v2,China,Indonesia,rev,B,-7.03076171875
glm4-9b-chat,espionage_v2,USA,China,fwd,B,0.8359375
glm4-9b-chat,espionage_v2,China,USA,rev,B,-6.35400390625
glm4-9b-chat,espionage_v2,France,China,fwd,B,0.6806640625
glm4-9b-chat,espionage_v2,China,France,rev,B,-8.9656982421875
glm4-9b-chat,espionage_v2,Indonesia,China,fwd,B,0.5859375
glm4-9b-chat,espionage_v2,China,Indonesia,rev,B,-8.1981201171875
glm4-9b-chat,tech_war_v2,USA,China,fwd,B,1.705078125
glm4-9b-chat,tech_war_v2,China,USA,rev,B,-8.5126953125
glm4-9b-chat,tech_war_v2,France,China,fwd,B,-0.8134765625
glm4-9b-chat,tech_war_v2,China,France,rev,B,-9.473388671875
glm4-9b-chat,tech_war_v2,Indonesia,China,fwd,A,9.53515625
glm4-9b-chat,tech_war_v2,China,Indonesia,rev,B,-9.190673828125
glm4-9b-chat,trade_v2,USA,China,fwd,A,0.322265625
glm4-9b-chat,trade_v2,China,USA,rev,B,-0.2421875
glm4-9b-chat,trade_v2,France,China,fwd,B,0.0869140625
glm4-9b-chat,trade_v2,China,France,rev,B,-7.697021484375
glm4-9b-chat,trade_v2,Indonesia,China,fwd,B,0.5654296875
glm4-9b-chat,trade_v2,China,Indonesia,rev,B,-8.0225830078125
llama3-8b-inst,airspace_v3,USA,China,fwd,B,-1.406005859375
llama3-8b-inst,airspace_v3,China,USA,rev,B,-2.6405029296875
llama3-8b-inst,airspace_v3,France,China,fwd,B,-2.3282470703125
llama3-8b-inst,airspace_v3,China,France,rev,B,-3.328857421875
llama3-8b-inst,airspace_v3,Indonesia,China,fwd,B,-1.7806396484375
llama3-8b-inst,airspace_v3,China,Indonesia,rev,B,-2.5946044921875
llama3-8b-inst,maritime_v1,USA,China,fwd,B,-1.09326171875
llama3-8b-inst,maritime_v1,China,USA,rev,A,-0.453125
llama3-8b-inst,maritime_v1,France,China,fwd,A,0.21875
llama3-8b-inst,maritime_v1,China,France,rev,B,-0.73388671875
llama3-8b-inst,maritime_v1,Indonesia,China,fwd,A,1.296875
llama3-8b-inst,maritime_v1,China,Indonesia,rev,B,-2.4365234375
llama3-8b-inst,cyber_v3,France,China,fwd,B,0.328125
llama3-8b-inst,cyber_v3,China,France,rev,B,-1.6871337890625
llama3-8b-inst,cyber_v3,Indonesia,China,fwd,B,-0.18701171875
llama3-8b-inst,cyber_v3,China,Indonesia,rev,B,-2.719482421875
llama3-8b-inst,sovereignty_v1,USA,China,fwd,B,-0.546875
llama3-8b-inst,sovereignty_v1,China,USA,rev,A,-0.359375
llama3-8b-inst,sovereignty_v1,France,China,fwd,B,-0.46875
llama3-8b-inst,sovereignty_v1,China,France,rev,B,-0.937255859375
llama3-8b-inst,sovereignty_v1,Indonesia,China,fwd,B,-0.76513671875
llama3-8b-inst,sovereignty_v1,China,Indonesia,rev,B,-1.53173828125
llama3-8b-inst,internal_affairs_v1,USA,China,fwd,B,-0.4375
llama3-8b-inst,internal_affairs_v1,China,USA,rev,A,0.125
llama3-8b-inst,internal_affairs_v1,France,China,fwd,A,0.515625
llama3-8b-inst,internal_affairs_v1,China,France,rev,A,-0.09375
llama3-8b-inst,internal_affairs_v1,Indonesia,China,fwd,A,0.234375
llama3-8b-inst,internal_affairs_v1,China,Indonesia,rev,B,-0.57861328125
llama3-8b-inst,border_v1,USA,China,fwd,B,-1.8515625
llama3-8b-inst,border_v1,China,USA,rev,A,-1.2890625
llama3-8b-inst,border_v1,France,China,fwd,B,-1.5615234375
llama3-8b-inst,border_v1,China,France,rev,B,-1.7578125
llama3-8b-inst,border_v1,Indonesia,China,fwd,A,-1.0234375
llama3-8b-inst,border_v1,China,Indonesia,rev,B,-3.021484375
llama3-8b-inst,humanitarian_def_v2,USA,China,fwd,B,-1.375244140625
llama3-8b-inst,humanitarian_def_v2,China,USA,rev,A,-0.140625
llama3-8b-inst,humanitarian_def_v2,France,China,fwd,B,-0.781494140625
llama3-8b-inst,humanitarian_def_v2,China,France,rev,B,-0.546875
llama3-8b-inst,humanitarian_def_v2,Indonesia,China,fwd,A,0.109375
llama3-8b-inst,humanitarian_def_v2,China,Indonesia,rev,B,-1.859130859375
llama3-8b-inst,espionage_v2,USA,China,fwd,B,-1.9368896484375
llama3-8b-inst,espionage_v2,China,USA,rev,B,-2.2969970703125
llama3-8b-inst,espionage_v2,France,China,fwd,B,-0.859619140625
llama3-8b-inst,espionage_v2,China,France,rev,B,-3.795989990234375
llama3-8b-inst,espionage_v2,Indonesia,China,fwd,B,-1.077880859375
llama3-8b-inst,espionage_v2,China,Indonesia,rev,B,-3.15582275390625
llama3-8b-inst,tech_war_v2,USA,China,fwd,B,-0.75
llama3-8b-inst,tech_war_v2,China,USA,rev,B,-2.0465087890625
llama3-8b-inst,tech_war_v2,France,China,fwd,B,-0.76513671875
llama3-8b-inst,tech_war_v2,China,France,rev,B,-2.59442138671875
llama3-8b-inst,tech_war_v2,Indonesia,China,fwd,B,-0.5
llama3-8b-inst,tech_war_v2,China,Indonesia,rev,B,-3.46026611328125
llama3-8b-inst,trade_v2,USA,China,fwd,B,-1.093505859375
llama3-8b-inst,trade_v2,China,USA,rev,B,-1.093994140625
llama3-8b-inst,trade_v2,France,China,fwd,B,-0.59375
llama3-8b-inst,trade_v2,China,France,rev,B,-1.5936279296875
llama3-8b-inst,trade_v2,Indonesia,China,fwd,B,-0.43798828125
llama3-8b-inst,trade_v2,China,Indonesia,rev,B,-2.7191162109375
baichuan2-7b-chat,airspace_v3,USA,China,fwd,B,-5.813411712646484
baichuan2-7b-chat,airspace_v3,China,USA,rev,B,-8.265363693237305
baichuan2-7b-chat,airspace_v3,France,China,fwd,B,-10.874977946281433
baichuan2-7b-chat,airspace_v3,Indonesia,China,fwd,B,-6.936522483825684
baichuan2-7b-chat,airspace_v3,China,Indonesia,rev,B,-7.687026262283325
baichuan2-7b-chat,maritime_v1,USA,China,fwd,B,-0.0625
baichuan2-7b-chat,maritime_v1,China,USA,rev,B,-6.905239105224609
baichuan2-7b-chat,maritime_v1,France,China,fwd,A,2.296875
baichuan2-7b-chat,maritime_v1,China,France,rev,A,4.00390625
baichuan2-7b-chat,maritime_v1,Indonesia,China,fwd,A,7.005859375
baichuan2-7b-chat,maritime_v1,China,Indonesia,rev,A,4.1875
baichuan2-7b-chat,cyber_v3,USA,China,fwd,B,-3.249053955078125
baichuan2-7b-chat,cyber_v3,China,USA,rev,B,-1.6876220703125
baichuan2-7b-chat,cyber_v3,France,China,fwd,A,1.9375
baichuan2-7b-chat,cyber_v3,China,France,rev,B,-3.34417724609375
baichuan2-7b-chat,cyber_v3,Indonesia,China,fwd,A,0.015625
baichuan2-7b-chat,cyber_v3,China,Indonesia,rev,B,-4.251434326171875
baichuan2-7b-chat,sovereignty_v1,USA,China,fwd,B,-4.283134460449219
baichuan2-7b-chat,sovereignty_v1,China,USA,rev,A,5.25
baichuan2-7b-chat,sovereignty_v1,France,China,fwd,B,-8.18721890449524
baichuan2-7b-chat,sovereignty_v1,China,France,rev,B,-8.124698877334595
